Source ID,Target ID,Source,Target,Altered,Start Year Type,Start Year,End Year Type,End Year
10009470,10008713,Anthony Pearson,James Nayler,FALSE,AF/IN,1627,BF/IN,1660
10004625,10004524,Benjamin Furly,George Fox,TRUE,AF/IN,1636,BF/IN,1691
10006784,10004524,George Keith,George Fox,TRUE,AF/IN,1638,BF/IN,1691
10004524,10000411,George Fox,John Audland,FALSE,AF/IN,1630,BF/IN,1664
10004524,10002606,George Fox,William Coddington,FALSE,AF/IN,1624,BF/IN,1678
10004524,10003945,George Fox,Thomas Ellwood,FALSE,AF/IN,1639,BF/IN,1691
10004524,10004170,George Fox,Margaret Fell,FALSE,AF/IN,1624,BF/IN,1691
10004524,10004173,George Fox,Thomas Fell,FALSE,AF/IN,1624,BF/IN,1658
10006146,10004524,Ellis Hookes,George Fox,FALSE,AF/IN,1635,BF/IN,1681
10006153,10004524,Elizabeth Hooten,George Fox,FALSE,AF/IN,1624,BF/IN,1672
10006305,10004524,Francis Howgill,George Fox,FALSE,AF/IN,1624,BF/IN,1669
10008161,10004524,William Mead,George Fox,FALSE,AF/IN,1627,BF/IN,1691
10008595,10004524,William Mucklow,George Fox,FALSE,AF/IN,1630,BF/IN,1691
10009531,10004524,William Penn,George Fox,FALSE,AF/IN,1644,BF/IN,1691
10009584,10004524,John Perrot,George Fox,FALSE,AF/IN,1624,BF/IN,1665
10010643,10004524,Thomas Salthouse,George Fox,FALSE,AF/IN,1630,BF/IN,1691
10011516,10004524,Nathaniel Stephens,George Fox,FALSE,AF/IN,1624,BF/IN,1678
10012813,10004524,George Whitehead,George Fox,FALSE,AF/IN,1637,BF/IN,1691
10012893,10004524,John Wilkinson,George Fox,FALSE,AF/IN,1652,BF/IN,1683
10008713,10004524,James Nayler,George Fox,FALSE,AF/IN,1624,BF/IN,1660
10009533,10004524,John Pennyman,George Fox,FALSE,AF/IN,1628,BF/IN,1691
10004524,10003063,George Fox,John Crook,FALSE,AF/IN,1624,BF/IN,1691
10004524,10003478,George Fox,William Dewsbury,FALSE,AF/IN,1624,BF/IN,1688
10004524,10001818,George Fox,Edward Burrough,FALSE,AF/IN,1633,BF/IN,1663
10004524,10004169,George Fox,Leonard Fell,FALSE,AF/IN,1624,BF/IN,1691
10011695,10004524,John Stubbs,George Fox,TRUE,AF/IN,1624,BF/IN,1675
10007166,10000532,Gilbert Latey,Daniel Baker,FALSE,AF/IN,1645,BF/IN,1678
10007166,10001818,Gilbert Latey,Edward Burrough,FALSE,AF/IN,1633,BF/IN,1663
10012813,10007166,George Whitehead,Gilbert Latey,FALSE,AF/IN,1637,BF/IN,1705
10011671,10007166,King Charles II,Gilbert Latey,FALSE,AF/IN,1630,BF/IN,1685
10009347,10003022,James Parnel,Stephen Crisp,FALSE,AF/IN,1636,BF/IN,1656
10003022,10002203,Stephen Crisp,William Caton,FALSE,AF/IN,1636,BF/IN,1665
10004625,10003022,Benjamin Furly,Stephen Crisp,TRUE,AF/IN,1636,BF/IN,1692
10012980,10003489,Thomas Wilson,James Dickinson,FALSE,AF/IN,1663,BF/IN,1741
10006153,10004524,Elizabeth Hooten,George Fox,FALSE,AF/IN,1624,BF/IN,1672
10009531,10001151,William Penn,Robert Blake,FALSE,AF/IN,1644,BF/IN,1657
10009531,10001815,William Penn,John Burnyeat,FALSE,AF/IN,1644,BF/IN,1690
10009531,10001806,William Penn,Gilbert Burnet,FALSE,AF/IN,1644,BF/IN,1715
10009531,10002513,William Penn,James Claypoole,FALSE,AF/IN,1644,BF/IN,1687
10009531,10004034,William Penn,John Evans,FALSE,AF/IN,1678,BF/IN,1718
10009531,10004524,William Penn,George Fox,FALSE,AF/IN,1644,BF/IN,1691
10009531,10004625,William Penn,Benjamin Furly,TRUE,AF/IN,1644,BF/IN,1714
10009531,10004914,William Penn,Sidney Godolphin,FALSE,AF/IN,1645,BF/IN,1712
10009531,10004980,William Penn,Charles Gookin,FALSE,AF/IN,1660,BF/IN,1718
10009531,10005359,William Penn,Edward Haistwell,FALSE,AF/IN,1658,BF/IN,1709
10009531,10006666,William Penn,James Johnston,FALSE,AF/IN,1655,BF/IN,1718
10009531,10006784,William Penn,George Keith,FALSE,AF/IN,1644,BF/IN,1716
10009531,10006795,William Penn,Sir William Keith,FALSE,AF/IN,1669,BF/IN,1718
10009531,10007211,William Penn,Charlwood Lawton,FALSE,AF/IN,1660,BF/IN,1718
10009531,10007509,William Penn,David Lloyd,FALSE,AF/IN,1656,BF/IN,1718
10009531,10007567,William Penn,James Logan,FALSE,AF/IN,1674,BF/IN,1718
10011087,10009531,Algernon Sidney,William Penn,FALSE,AF/IN,1644,BF/IN,1683
10011332,10009531,Tace Sowle,William Penn,FALSE,AF/IN,1666,BF/IN,1718
10011683,10009531,King James II and VII,William Penn,FALSE,AF/IN,1644,BF/IN,1701
10011614,10009531,Thomas Story,William Penn,FALSE,AF/IN,1670,BF/IN,1718
10012062,10009531,Rebecca Travers,William Penn,FALSE,AF/IN,1644,BF/IN,1688
10012295,10009531,Robert Venables,William Penn,FALSE,AF/IN,1644,BF/IN,1687
10013226,10009531,Isabel Yeamans,William Penn,FALSE,AF/IN,1644,BF/IN,1704
10011369,10009531,Robert Spencer,William Penn,FALSE,AF/IN,1644,BF/IN,1702
10009531,10000341,William Penn,John Ashton,FALSE,AF/IN,1653,BF/IN,1691
10009531,10005315,William Penn,Henry Guy,FALSE,AF/IN,1644,BF/IN,1711
10009531,10005016,William Penn,Patrick Gordon,FALSE,AF/IN,1664,BF/IN,1718
10009531,10005550,William Penn,Robert Harley,FALSE,AF/IN,1661,BF/IN,1718
10009531,10008884,William Penn,Isaac Norris,FALSE,AF/IN,1671,BF/IN,1718
10010384,10009531,"Sir John Rodes of Balborough, Derbyshire",William Penn,FALSE,AF/IN,1644,BF/IN,1698
10011557,10009531,Sir James Stewart of Goodtrees,William Penn,FALSE,AF/IN,1644,BF/IN,1713
10009531,10001445,William Penn,William Bradford,FALSE,AF/IN,1663,BF/IN,1718
10009531,10000793,William Penn,Sir William Batten,FALSE,AF/IN,1644,BF/IN,1667
10009531,10002469,William Penn,Richard Claridge,FALSE,AF/IN,1649,BF/IN,1718
10009531,10004170,William Penn,Margaret Fell,FALSE,AF/IN,1644,BF/IN,1702
10009531,10009527,William Penn,Mary Penington,FALSE,AF/IN,1644,BF/IN,1682
10012813,10009531,George Whitehead,William Penn,FALSE,AF/IN,1644,BF/IN,1718
10009531,10007541,William Penn,John Locke,TRUE,AF/IN,1644,BF/IN,1704
10004290,10000421,Mary Fisher,Ann Austin,FALSE,AF/IN,1630,BF/IN,1656
10009584,10004290,John Perrot,Mary Fisher,FALSE,AF/IN,1623,BF/IN,1665
10009959,10004290,Mary Prince,Mary Fisher,FALSE,AF/IN,1623,BF/IN,1679
10011100,10006305,Martha Simmonds,Francis Howgill,FALSE,AF/IN,1624,BF/IN,1665
10011100,10008713,Martha Simmonds,James Nayler,FALSE,AF/IN,1624,BF/IN,1660
10011632,10011100,Hannah Stranger,Martha Simmonds,FALSE,AF/IN,1656,BF/IN,1665
10011100,10001957,Martha Simmonds,Giles Calvert,FALSE,AF/IN,1624,BF/IN,1663
10007110,10002274,Lydia Lancaster,Grace Chamber,FALSE,AF/IN,1683,BF/IN,1761
10010941,10003161,Anthony Sharp,Thomas Curtis,FALSE,AF/IN,1643,BF/IN,1707
10010941,10002504,Anthony Sharp,Samuel Clarridge,FALSE,AF/IN,1643,BF/IN,1704
10010941,10003882,Anthony Sharp,William Edmundson,FALSE,AF/IN,1643,BF/IN,1707
10004170,10004141,Margaret Fell,Richard Farnworth,FALSE,AF/IN,1630,BF/IN,1666
10006314,10004141,Richard Hubberthorne,Richard Farnworth,FALSE,AF/IN,1630,BF/IN,1662
10009470,10004141,Anthony Pearson,Richard Farnworth,FALSE,AF/IN,1630,BF/IN,1666
10006305,10004141,Francis Howgill,Richard Farnworth,FALSE,AF/IN,1630,BF/IN,1666
10008713,10004141,James Nayler,Richard Farnworth,FALSE,AF/IN,1630,BF/IN,1660
10009584,10004141,John Perrot,Richard Farnworth,FALSE,AF/IN,1630,BF/IN,1665
10011632,10008713,Hannah Stranger,James Nayler,FALSE,AF/IN,1656,BF/IN,1660
10011632,10011100,Hannah Stranger,Martha Simmonds,FALSE,AF/IN,1656,BF/IN,1665
10004524,10003945,George Fox,Thomas Ellwood,FALSE,AF/IN,1639,BF/IN,1691
10006498,10003945,Jeremiah Ives,Thomas Ellwood,FALSE,AF/IN,1646,BF/IN,1674
10009524,10003945,Isaac Penington,Thomas Ellwood,FALSE,AF/IN,1639,BF/IN,1661
10010417,10003945,William Rogers,Thomas Ellwood,FALSE,AF/IN,1639,BF/IN,1711
10011613,10003945,John Story,Thomas Ellwood,FALSE,AF/IN,1639,BF/IN,1681
10011671,10003945,King Charles II,Thomas Ellwood,FALSE,AF/IN,1639,BF/IN,1685
10013191,10003945,Joseph Wyeth,Thomas Ellwood,FALSE,AF/IN,1663,BF/IN,1713
10008713,10003945,James Nayler,Thomas Ellwood,FALSE,AF/IN,1639,BF/IN,1660
10008309,10003945,John Milton,Thomas Ellwood,TRUE,AF/IN,1639,BF/IN,1674
10003945,10001818,Thomas Ellwood,Edward Burrough,FALSE,AF/IN,1639,BF/IN,1663
10003945,10003161,Thomas Ellwood,Thomas Curtis,FALSE,AF/IN,1639,BF/IN,1712
10009527,10003945,Mary Penington,Thomas Ellwood,FALSE,AF/IN,1639,BF/IN,1682
10007530,10005438,Thomas Lloyd,Gustavus Hamilton,FALSE,AF/IN,1642,BF/IN,1694
10004173,10004170,Thomas Fell,Margaret Fell,TRUE,AF/IN,1632,BF/IN,1658
10004170,10002203,Margaret Fell,William Caton,FALSE,AF/IN,1636,BF/IN,1665
10004170,10004141,Margaret Fell,Richard Farnworth,FALSE,AF/IN,1630,BF/IN,1666
10004523,10004170,George Fox the younger,Margaret Fell,FALSE,AF/IN,1614,BF/IN,1661
10004524,10004170,George Fox,Margaret Fell,FALSE,AF/IN,1624,BF/IN,1691
10007210,10004170,Thomas Lawson,Margaret Fell,FALSE,AF/IN,1630,BF/IN,1691
10007246,10004170,Elizabeth Leavens,Margaret Fell,FALSE,AF/IN,1614,BF/IN,1665
10008713,10004170,James Nayler,Margaret Fell,FALSE,AF/IN,1618,BF/IN,1660
10009470,10004170,Anthony Pearson,Margaret Fell,FALSE,AF/IN,1627,BF/IN,1666
10010643,10004170,Thomas Salthouse,Margaret Fell,FALSE,AF/IN,1630,BF/IN,1691
10007626,10004170,Thomas Lower,Margaret Fell,FALSE,AF/IN,1633,BF/IN,1702
10008161,10004170,William Mead,Margaret Fell,FALSE,AF/IN,1627,BF/IN,1702
10009307,10004170,Alexander Parker,Margaret Fell,FALSE,AF/IN,1628,BF/IN,1689
10009531,10004170,William Penn,Margaret Fell,FALSE,AF/IN,1644,BF/IN,1702
10010417,10003945,William Rogers,Thomas Ellwood,FALSE,AF/IN,1639,BF/IN,1711
10012813,10010417,George Whitehead,William Rogers,FALSE,AF/IN,1637,BF/IN,1711
10001815,10000243,John Burnyeat,John ap John,FALSE,AF/IN,1631,BF/IN,1690
10003882,10001815,William Edmundson,John Burnyeat,FALSE,AF/IN,1631,BF/IN,1690
10009531,10001815,William Penn,John Burnyeat,FALSE,AF/IN,1644,BF/IN,1690
10011695,10001815,John Stubbs,John Burnyeat,FALSE,AF/IN,1631,BF/IN,1675
10012925,10001815,Roger Williams,John Burnyeat,FALSE,AF/IN,1631,BF/IN,1683
10001390,10001027,Samuel Bownas,Joseph Besse,FALSE,AF/IN,1683,BF/IN,1753
10012972,10001390,James Wilson,Samuel Bownas,FALSE,AF/IN,1690,BF/IN,1753
10003984,10003983,William Erbery,Dorcas Erbery,FALSE,AF/IN,1656,BF/IN,1654
10008713,10003983,James Nayler,Dorcas Erbery,FALSE,AF/IN,1656,BF/IN,1659
